PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0.0007778863,-0.0000538177,0.0000000000,239.1628041065,-16.6576503977,0,0,0,0
2,0.0007880856,-0.0000517572,0.0000000000,242.2986040146,-16.0198740971,0,0,0,0
3,0.0007880856,-0.0000517572,0.0000000000,242.2986040146,-16.0198740971,0,0,0,0
4,0.0007982849,-0.0000496968,0.0000000000,245.4344038896,-15.3820977181,0,0,0,0
5,0.0007982849,-0.0000496968,0.0000000000,245.4344038896,-15.3820977181,0,0,0,0
6,0.0007965706,0.0000142831,0.0000000000,244.9073013113,4.4212249694,0,0,0,0
7,0.0007965706,0.0000142831,0.0000000000,244.9073013113,4.4212249694,0,0,0,0
8,0.0007963208,0.0000179542,0.0000000000,244.8304885029,5.5575122697,0,0,0,0
9,0.0007963208,0.0000179542,0.0000000000,244.8304885029,5.5575122697,0,0,0,0
10,0.0007959107,0.0000216111,0.0000000000,244.7044108128,6.6893924550,0,0,0,0
11,0.0007959107,0.0000216111,0.0000000000,244.7044108128,6.6893924550,0,0,0,0
12,0.0007953412,0.0000252468,0.0000000000,244.5293073216,7.8147305521,0,0,0,0
13,0.0007953412,0.0000252468,0.0000000000,244.5293073216,7.8147305521,0,0,0,0
14,0.0007946133,0.0000288545,0.0000000000,244.3055067626,8.9314049596,0,0,0,0
15,0.0007946133,0.0000288545,0.0000000000,244.3055067626,8.9314049596,0,0,0,0
16,0.0007937284,0.0000324274,0.0000000000,244.0334330563,10.0373085624,0,0,0,0
17,0.0007937284,0.0000324274,0.0000000000,244.0334330563,10.0373085624,0,0,0,0
18,0.0007926881,0.0000359588,0.0000000000,243.7135986692,11.1303565315,0,0,0,0
19,0.0007926881,0.0000359588,0.0000000000,243.7135986692,11.1303565315,0,0,0,0
20,0.0007914944,0.0000394420,0.0000000000,243.3466057208,12.2084863235,0,0,0,0
21,0.0007914944,0.0000394420,0.0000000000,243.3466057208,12.2084863235,0,0,0,0
22,0.0007901497,0.0000428704,0.0000000000,242.9331481971,13.2696654815,0,0,0,0
23,0.0007901497,0.0000428704,0.0000000000,242.9331481971,13.2696654815,0,0,0,0
24,0.0007887626,0.0000460735,0.0000000000,242.5067044143,14.2611002749,0,0,0,0
25,0.0007887626,0.0000460735,0.0000000000,242.5067044143,14.2611002749,0,0,0,0
26,0.0007874606,0.0000490500,0.0000000000,242.1063951877,15.1824085835,0,0,0,0
27,0.0007874606,0.0000490500,0.0000000000,242.1063951877,15.1824085835,0,0,0,0
28,0.0007861629,0.0000520168,0.0000000000,241.7073876024,16.1007060859,0,0,0,0
29,0.0007861629,0.0000520168,0.0000000000,241.7073876024,16.1007060859,0,0,0,0
30,0.0007766169,0.0000478968,0.0000000000,238.7724689963,14.8254590994,0,0,0,0
31,0.0007766169,0.0000478968,0.0000000000,238.7724689963,14.8254590994,0,0,0,0
32,0.0007670710,0.0000437768,0.0000000000,235.8375514353,13.5502121708,0,0,0,0
33,0.0007670710,0.0000437768,0.0000000000,235.8375514353,13.5502121708,0,0,0,0
34,0.0007433378,0.0000054371,0.0000000000,228.5407785582,1.6831435551,0,0,0,0
35,0.0007433378,0.0000054371,0.0000000000,228.5407785582,1.6831435551,0,0,0,0
36,0.0007434331,-0.0000058701,0.0000000000,228.5700618647,-1.8167338637,0,0,0,0
37,0.0007434331,-0.0000058701,0.0000000000,228.5700618647,-1.8167338637,0,0,0,0
38,0.0007435283,-0.0000171774,0.0000000000,228.5993462798,-5.3166113838,0,0,0,0
39,0.0007435283,-0.0000171774,0.0000000000,228.5993462798,-5.3166113838,0,0,0,0
40,0.0007778863,-0.0000538177,0.0000000000,239.1628041065,-16.6576503977,0,0,0,0
41,0.0007778863,-0.0000538177,0.0000000000,239.1628041065,-16.6576503977,0,0,0,0
42,0.0007778863,-0.0000538177,0.0000000000,239.1628041065,-16.6576503977,0,0,0,0
43,0.0001026803,-0.0003452553,0.0000000000,31.5693121984,-106.8649051849,0,0,0,0
44,0.0001127629,-0.0003451777,0.0000000000,34.6692201585,-106.8408836297,0,0,0,0
45,0.0001127629,-0.0003451777,0.0000000000,34.6692201585,-106.8408836297,0,0,0,0
46,0.0001228455,-0.0003451001,0.0000000000,37.7691270106,-106.8168608808,0,0,0,0
47,0.0001228455,-0.0003451001,0.0000000000,37.7691270106,-106.8168608808,0,0,0,0
48,0.0001309191,-0.0003369764,0.0000000000,40.2513740087,-104.3023756243,0,0,0,0
49,0.0001309191,-0.0003369764,0.0000000000,40.2513740087,-104.3023756243,0,0,0,0
50,0.0001307975,-0.0003143614,0.0000000000,40.2140040442,-97.3024755699,0,0,0,0
51,0.0001307975,-0.0003143614,0.0000000000,40.2140040442,-97.3024755699,0,0,0,0
52,0.0000943696,-0.0003145545,0.0000000000,29.0141442193,-97.3622681213,0,0,0,0
