AID,SLID,ELID
1,1,9
2,10,17
3,18,26
4,27,38
5,39,47
6,48,95
7,96,105
8,106,154
9,155,170
10,171,181
11,182,250
12,251,325
13,326,337
14,338,460
15,461,472
16,473,484
17,485,498
18,499,507
19,508,514
20,515,609
21,610,616
22,617,712
23,713,723
24,724,734
25,735,742
26,743,864
27,865,872
28,873,884
29,885,962
30,963,970
31,971,1049
32,1050,1073
33,1074,1087
34,1088,1163
35,1164,1167
36,1168,1201
37,1202,1235
38,1236,1269
39,1270,1303
40,1304,1307
41,1308,1311
42,1312,1315
43,1316,1349
44,1350,1353
45,1354,1357
46,1358,1407
47,1408,1457
48,1458,1461
49,1462,1465
50,1466,1489
51,1490,1493
52,1494,1497
53,1498,1501
54,1502,1505
55,1506,1545
56,1546,1573
57,1574,1597
58,1598,1601
59,1602,1617
60,1618,1645
61,1646,1681
62,1682,1749
63,1750,1817
64,1818,1845
65,1846,1895
66,1896,1899
67,1900,1925
68,1926,1951
69,1952,1955
70,1956,1987
71,1988,2011
72,2012,2037
73,2038,2071
74,2072,2075
75,2076,2079
76,2080,2197
77,2198,2201
78,2202,2205
79,2206,2209
80,2210,2251
81,2252,2255
82,2256,2383
83,2384,2387
84,2388,2471
85,2472,2475
86,2476,2525
87,2526,2761
88,2762,2807
89,2808,2811
90,2812,2863
91,2864,2899
92,2900,2903
93,2904,2907
94,2908,2931
95,2932,3115
96,3116,3119
97,3120,3123
98,3124,3129
99,3130,3133
100,3134,3167
101,3168,3171
102,3172,3175
103,3176,3259
104,3260,3263
105,3264,3267
106,3268,3271
107,3272,3455
108,3456,3463
109,3464,3477
110,3478,3481
111,3482,3539
112,3540,3543
113,3544,3547
114,3548,3583
115,3584,3587
116,3588,3591
117,3592,3595
118,3596,3599
119,3600,3639
120,3640,3643
121,3644,3647
122,3648,3651
123,3652,3655
124,3656,3659
125,3660,3663
126,3664,3667
127,3668,3671
128,3672,3733
129,3734,3969
130,3970,4005
131,4006,4067
132,4068,4251
133,4252,4255
134,4256,4491
135,4492,4495
136,4496,4499
137,4500,4551
138,4552,4557
139,4558,4601
140,4602,4607
141,4608,4643
142,4644,4681
143,4682,4685
144,4686,4709
145,4710,4713
146,4714,4717
147,4718,4755
148,4756,4797
149,4798,4801
150,4802,4805
151,4806,4933
152,4934,4963
153,4964,5017
154,5018,5021
155,5022,5025
156,5026,5073
157,5074,5077
158,5078,5081
159,5082,5145
160,5146,5149
161,5150,5207
162,5208,5211
163,5212,5215
164,5216,5275
165,5276,5279
166,5280,5321
167,5322,5327
168,5328,5333
169,5334,5337
170,5338,5341
171,5342,5345
172,5346,5349
173,5350,5401
174,5402,5405
175,5406,5409
176,5410,5451
177,5452,5473
178,5474,5527
179,5528,5531
180,5532,5535
181,5536,5771
182,5772,5775
183,5776,5815
184,5816,5883
185,5884,5887
186,5888,5891
187,5892,5895
188,5896,5977
189,5978,5981
190,5982,5985
191,5986,5989
192,5990,5993
193,5994,5997
194,5998,6071
195,6072,6223
196,6224,6227
197,6228,6231
198,6232,6269
199,6270,6273
200,6274,6277
201,6278,6333
202,6334,6337
203,6338,6379
204,6380,6383
