AID,SLID,ELID
1,1,16
2,17,31
3,32,85
4,86,99
5,100,358
6,359,372
7,373,387
8,388,411
9,412,426
10,427,438
11,439,571
12,572,585
13,586,688
14,689,700
15,701,714
16,715,723
17,724,737
18,738,748
19,749,819
20,820,833
21,834,846
22,847,858
23,859,872
24,873,936
25,937,1000
26,1001,1044
27,1045,1094
28,1095,1146
29,1147,1204
30,1205,1254
31,1255,1306
32,1307,1340
33,1341,1396
34,1397,1452
35,1453,1508
36,1509,1542
37,1543,1576
38,1577,1618
39,1619,1678
40,1679,1742
41,1743,1776
42,1777,1810
43,1811,1872
44,1873,1934
45,1935,1990
46,1991,2040
47,2041,2086
48,2087,2142
49,2143,2176
50,2177,2220
51,2221,2266
52,2267,2312
53,2313,2354
54,2355,2406
55,2407,2440
56,2441,2482
57,2483,2538
58,2539,2594
59,2595,2668
60,2669,2742
61,2743,2816
62,2817,2890
63,2891,2946
64,2947,2984
65,2985,3040
66,3041,3096
67,3097,3142
68,3143,3206
69,3207,3248
70,3249,3282
71,3283,3318
72,3319,3374
73,3375,3410
74,3411,3464
75,3465,3534
76,3535,3604
77,3605,3674
78,3675,3730
79,3731,3772
80,3773,3818
81,3819,3852
82,3853,3898
83,3899,3940
84,3941,3982
85,3983,4028
86,4029,4064
87,4065,4104
88,4105,4160
89,4161,4216
90,4217,4256
91,4257,4312
92,4313,4368
93,4369,4424
94,4425,4466
95,4467,4522
96,4523,4580
97,4581,4654
98,4655,4728
99,4729,4774
100,4775,4830
101,4831,4876
102,4877,4914
103,4915,4956
104,4957,5006
105,5007,5066
106,5067,5106
107,5107,5148
108,5149,5212
109,5213,5264
110,5265,5326
111,5327,5380
112,5381,5454
113,5455,5528
114,5529,5602
115,5603,5658
116,5659,5732
117,5733,5800
118,5801,5864
119,5865,6468
120,6469,6498
121,6499,7102
122,7103,8734
123,8735,8790
124,8791,10422
125,10423,10448
126,10449,10482
127,10483,10576
128,10577,10602
129,10603,10644
130,10645,10702
131,10703,10736
132,10737,10782
133,10783,10828
134,10829,12460
135,12461,12494
136,12495,12548
137,12549,13104
138,13105,13660
139,13661,13664
140,13665,13714
141,13715,13780
142,13781,13844
143,13845,13908
144,13909,13912
145,13913,13916
146,13917,13972
147,13973,14014
148,14015,14074
149,14075,14120
150,14121,14126
151,14127,14192
152,14193,14250
153,14251,14478
154,14479,14544
155,14545,14588
156,14589,14696
157,14697,14766
158,14767,14860
159,14861,15464
160,15465,15720
161,15721,15948
162,15949,16040
163,16041,16134
164,16135,16190
165,16191,16252
166,16253,16318
167,16319,16362
168,16363,16430
169,16431,16468
170,16469,16568
171,16569,16824
172,16825,16868
173,16869,16910
174,16911,16976
175,16977,17026
176,17027,17082
177,17083,17156
178,17157,17250
179,17251,17368
180,17369,17438
181,17439,18042
182,18043,18080
183,18081,18512
184,18513,18548
185,18549,18656
186,18657,18702
187,18703,19132
188,19133,19224
189,19225,20856
190,20857,20908
191,20909,21164
192,21165,21186
193,21187,21246
194,21247,21286
195,21287,21360
196,21361,21426
197,21427,21494
198,21495,21498
199,21499,21600
200,21601,21694
201,21695,21788
202,21789,21890
203,21891,21914
204,21915,21970
205,21971,22026
206,22027,22090
207,22091,22140
208,22141,22148
209,22149,22174
210,22175,22730
211,22731,22766
212,22767,23022
213,23023,23066
214,23067,23242
215,23243,23324
216,23325,23374
217,23375,23434
218,23435,23480
219,23481,23510
220,23511,23566
221,23567,23614
222,23615,23660
223,23661,23892
224,23893,24004
225,24005,24068
226,24069,24122
227,24123,24216
228,24217,24318
229,24319,24442
230,24443,24534
231,24535,24634
232,24635,24674
233,24675,24730
234,24731,24842
235,24843,24934
236,24935,25034
237,25035,25142
238,25143,25184
239,25185,25278
240,25279,25310
241,25311,25392
242,25393,25448
243,25449,25484
244,25485,25534
245,25535,25576
246,25577,25684
247,25685,25710
248,25711,25754
249,25755,25820
250,25821,25928
251,25929,25984
252,25985,26054
253,26055,26120
254,26121,26176
255,26177,26246
256,26247,26284
257,26285,26402
258,26403,26508
259,26509,26578
260,26579,26672
261,26673,26782
262,26783,26818
263,26819,26884
264,26885,27116
265,27117,27182
266,27183,27294
267,27295,27338
268,27339,27402
269,27403,27448
270,27449,27878
271,27879,27944
272,27945,27984
273,27985,28228
274,28229,28288
275,28289,28344
276,28345,28900
277,28901,28970
278,28971,28992
279,28993,29038
280,29039,29104
281,29105,29116
282,29117,29182
283,29183,29248
284,29249,29292
285,29293,29342
286,29343,29436
287,29437,29448
288,29449,29486
289,29487,29518
290,29519,29574
291,29575,29620
292,29621,29730
293,29731,29780
294,29781,29804
295,29805,29860
296,29861,29926
297,29927,31558
298,31559,31608
299,31609,31664
300,31665,31706
301,31707,32310
302,32311,32418
303,32419,32462
304,32463,32526
305,32527,32558
306,32559,32622
307,32623,32798
308,32799,32834
309,32835,32900
310,32901,32908
311,32909,32914
312,32915,32966
313,32967,32990
314,32991,33054
315,33055,33120
316,33121,33142
317,33143,33178
318,33179,33318
319,33319,33362
320,33363,33966
321,33967,34066
322,34067,34130
323,34131,34194
324,34195,34288
325,34289,34296
326,34297,34352
327,34353,34410
328,34411,34434
329,34435,34498
330,34499,34598
331,34599,34654
332,34655,34710
333,34711,34942
334,34943,35186
335,35187,35238
336,35239,35302
337,35303,35352
338,35353,35378
339,35379,35622
