DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1776,-1.57503,0,9e+10,0,0,1.75,1.75
2,0.969333,1777,1.56656,0,9e+10,0,0,1.75,1.75
3,1.93867,1778,1.56655,0,9e+10,0,0,1.75,1.75
4,2.908,1779,1.56656,0,9e+10,0,0,1.75,1.75
5,3.87733,1780,1.56656,0,9e+10,0,0,1.75,1.75
6,4.84667,1781,1.56656,0,9e+10,0,0,1.75,1.75
7,5.816,1782,1.56655,0,9e+10,0,0,1.75,1.75
8,6.78533,1783,1.56655,0,9e+10,0,0,1.75,1.75
9,7.75467,1784,1.56655,0,9e+10,0,0,1.75,1.75
10,8.724,1785,1.56656,0,9e+10,0,0,1.75,1.75
11,9.69333,1786,1.56656,0,9e+10,0,0,1.75,1.75
12,10.6627,1787,1.56656,0,9e+10,0,0,1.75,1.75
13,11.632,1788,1.56655,0,9e+10,0,0,1.75,1.75
14,12.6013,1789,1.56655,0,9e+10,0,0,1.75,1.75
15,13.5707,1790,1.56655,0,9e+10,0,0,1.75,1.75
16,14.54,1791,1.56655,0,9e+10,0,0,1.75,1.75
17,15.5093,1792,1.56656,0,9e+10,0,0,1.75,1.75
18,16.4787,1793,1.56656,0,9e+10,0,0,1.75,1.75
19,17.448,1794,1.56656,0,9e+10,0,0,1.75,1.75
20,18.4173,1795,1.56655,0,9e+10,0,0,1.75,1.75
21,19.3867,1796,1.56655,0,9e+10,0,0,1.75,1.75
22,20.356,1797,1.56655,0,9e+10,0,0,1.75,1.75
23,21.3253,1798,1.56656,0,9e+10,0,0,1.75,1.75
24,22.2947,1799,1.56656,0,9e+10,0,0,1.75,1.75
25,23.264,1800,1.56656,0,9e+10,0,0,1.75,1.75
26,24.2333,1801,1.56655,0,9e+10,0,0,1.75,1.75
27,25.2027,1802,1.56655,0,9e+10,0,0,1.75,1.75
28,26.172,1803,1.56655,0,9e+10,0,0,1.75,1.75
29,27.1413,1804,1.56655,0,9e+10,0,0,1.75,1.75
30,28.1107,1805,1.56656,0,9e+10,0,0,1.75,1.75
31,0,1837,1.56656,0,9e+10,0,0,1.75,1.75
32,0.974,1838,1.56656,0,9e+10,0,0,1.75,1.75
33,1.948,1839,1.56656,0,9e+10,0,0,1.75,1.75
34,2.922,1840,1.56656,0,9e+10,0,0,1.75,1.75
35,3.896,1841,1.56655,0,9e+10,0,0,1.75,1.75
36,4.87,1842,1.56655,0,9e+10,0,0,1.75,1.75
37,5.844,1843,1.56655,0,9e+10,0,0,1.75,1.75
38,6.818,1844,1.56656,0,9e+10,0,0,1.75,1.75
39,7.792,1845,1.56656,0,9e+10,0,0,1.75,1.75
40,8.766,1846,1.56656,0,9e+10,0,0,1.75,1.75
41,9.74,1847,1.56655,0,9e+10,0,0,1.75,1.75
42,10.714,1848,1.56655,0,9e+10,0,0,1.75,1.75
43,11.688,1849,1.56655,0,9e+10,0,0,1.75,1.75
44,12.662,1850,1.56655,0,9e+10,0,0,1.75,1.75
45,13.636,1851,1.56656,0,9e+10,0,0,1.75,1.75
46,14.61,1852,1.56656,0,9e+10,0,0,1.75,1.75
47,15.584,1853,1.56656,0,9e+10,0,0,1.75,1.75
48,16.558,1854,1.56655,0,9e+10,0,0,1.75,1.75
49,17.532,1855,1.56655,0,9e+10,0,0,1.75,1.75
50,18.506,1856,1.56655,0,9e+10,0,0,1.75,1.75
51,19.48,1857,1.56656,0,9e+10,0,0,1.75,1.75
52,20.454,1858,1.56656,0,9e+10,0,0,1.75,1.75
53,21.428,1859,1.56656,0,9e+10,0,0,1.75,1.75
54,22.402,1860,1.56655,0,9e+10,0,0,1.75,1.75
55,23.376,1861,1.56655,0,9e+10,0,0,1.75,1.75
56,24.35,1862,1.56655,0,9e+10,0,0,1.75,1.75
57,25.324,1863,1.56655,0,9e+10,0,0,1.75,1.75
58,26.298,1864,1.56655,0,9e+10,0,0,1.75,1.75
59,27.272,1865,1.56656,0,9e+10,0,0,1.75,1.75
60,28.246,1866,1.56656,0,9e+10,0,0,1.75,1.75
61,0,1895,1.55932,0,9e+10,0,0,1.77902,1.75
62,0.854947,1896,1.54311,0,9e+10,0,0,1.7496,1.74926
63,1.70938,1897,1.49768,0,9e+10,0,0,1.74854,1.74854
64,2.56401,1898,1.43797,0,9e+10,0,0,1.74126,1.75661
65,3.41869,1899,1.37477,0,9e+10,0,0,1.74854,1.74854
66,4.27304,1900,1.31497,0,9e+10,0,0,1.74854,1.74854
67,5.12736,1901,1.25615,0,9e+10,0,0,1.74854,1.74854
68,5.98202,1902,1.19339,0,9e+10,0,0,1.74165,1.75647
69,6.8367,1903,1.1301,0,9e+10,0,0,1.74854,1.74854
70,7.69104,1904,1.07076,0,9e+10,0,0,1.74854,1.74854
71,8.54537,1905,1.01202,0,9e+10,0,0,1.74854,1.74854
72,9.40005,1906,0.948802,0,9e+10,0,0,1.74209,1.75633
73,10.2547,1907,0.885416,0,9e+10,0,0,1.74854,1.74854
74,11.1091,1908,0.826163,0,9e+10,0,0,1.74853,1.74852
75,11.9634,1909,0.766151,0,9e+10,0,0,1.74841,1.74841
76,12.8181,1910,0.700367,0,9e+10,0,0,1.74193,1.75599
77,13.6727,1911,0.634709,0,9e+10,0,0,1.74841,1.74841
78,14.5269,1912,0.574265,0,9e+10,0,0,1.74841,1.74841
79,15.3813,1913,0.512325,0,9e+10,0,0,1.74841,1.74841
80,16.236,1914,0.445582,0,9e+10,0,0,1.74199,1.75517
81,17.0906,1915,0.380813,0,9e+10,0,0,1.74841,1.74841
82,17.9448,1916,0.320845,0,9e+10,0,0,1.74841,1.7484
83,18.7992,1917,0.258016,0,9e+10,0,0,1.7484,1.7484
84,19.6539,1918,0.190795,0,9e+10,0,0,1.74247,1.75436
85,20.5084,1919,0.126915,0,9e+10,0,0,1.7484,1.7484
86,21.3626,1920,0.0700515,0,9e+10,0,0,1.7484,1.7484
87,22.2173,1921,0.0208784,0,9e+10,0,0,1.74965,1.74991
88,0,1952,-3.13497,0,9e+10,0,0,1.75,1.75
89,0.907548,1953,0.00661947,0,9e+10,0,0,1.75,1.75
90,1.8151,1954,0.00571149,0,9e+10,0,0,1.75,1.75
91,2.72264,1955,-0.00337153,0,9e+10,0,0,1.74956,1.75018
92,3.62991,1956,-0.0346593,0,9e+10,0,0,1.74118,1.75631
93,4.53716,1957,-0.091196,0,9e+10,0,0,1.74689,1.75043
94,5.44422,1958,-0.154834,0,9e+10,0,0,1.74866,1.74866
95,6.35108,1959,-0.214283,0,9e+10,0,0,1.74866,1.74866
96,7.25805,1960,-0.27536,0,9e+10,0,0,1.74866,1.74866
97,8.16534,1961,-0.339553,0,9e+10,0,0,1.74424,1.75338
98,9.07271,1962,-0.405303,0,9e+10,0,0,1.74866,1.74866
99,9.9798,1963,-0.467938,0,9e+10,0,0,1.74866,1.74866
100,10.8867,1964,-0.526407,0,9e+10,0,0,1.74866,1.74866
101,11.7936,1965,-0.584972,0,9e+10,0,0,1.74866,1.74866
102,12.7011,1966,-0.652047,0,9e+10,0,0,1.74898,1.74883
103,13.6086,1967,-0.720481,0,9e+10,0,0,1.74866,1.74866
104,14.5157,1968,-0.781032,0,9e+10,0,0,1.7486,1.7486
105,15.4225,1969,-0.840934,0,9e+10,0,0,1.74855,1.74855
106,16.3295,1970,-0.903404,0,9e+10,0,0,1.74855,1.74856
107,17.2368,1971,-0.971691,0,9e+10,0,0,1.74566,1.75268
108,18.1442,1972,-1.04022,0,9e+10,0,0,1.74855,1.74855
109,19.0512,1973,-1.10303,0,9e+10,0,0,1.74855,1.74855
110,19.958,1974,-1.16332,0,9e+10,0,0,1.74856,1.74856
111,20.865,1975,-1.22986,0,9e+10,0,0,1.74856,1.74856
112,21.7723,1976,-1.29671,0,9e+10,0,0,1.73987,1.75786
113,22.6793,1977,-1.3601,0,9e+10,0,0,1.74643,1.75069
114,23.5862,1978,-1.42436,0,9e+10,0,0,1.74856,1.74855
115,24.493,1979,-1.48726,0,9e+10,0,0,1.74855,1.74855
116,25.4001,1980,-1.53839,0,9e+10,0,0,1.74407,1.75574
117,0,2012,-0.0279377,0,9e+10,0,0,1.77199,1.75
118,0.895277,2013,-0.0496416,0,9e+10,0,0,1.74933,1.749
119,1.7899,2014,-0.101863,0,9e+10,0,0,1.74842,1.74843
120,2.68467,2015,-0.16831,0,9e+10,0,0,1.7455,1.75136
121,3.57955,2016,-0.235234,0,9e+10,0,0,1.74076,1.7561
122,4.47434,2017,-0.300952,0,9e+10,0,0,1.74843,1.74843
123,5.3689,2018,-0.366101,0,9e+10,0,0,1.74843,1.74843
124,6.2635,2019,-0.433523,0,9e+10,0,0,1.74843,1.74843
125,7.1583,2020,-0.501523,0,9e+10,0,0,1.73697,1.76017
126,8.05285,2021,-0.564069,0,9e+10,0,0,1.74174,1.75511
127,8.94746,2022,-0.629779,0,9e+10,0,0,1.74843,1.74843
128,9.84198,2023,-0.698743,0,9e+10,0,0,1.74843,1.74843
129,10.7366,2024,-0.766493,0,9e+10,0,0,1.74062,1.75623
130,11.6311,2025,-0.828536,0,9e+10,0,0,1.7345,1.76235
131,12.5255,2026,-0.886224,0,9e+10,0,0,1.74406,1.75355
132,13.4203,2027,-0.943211,0,9e+10,0,0,1.749,1.749
133,14.3151,2028,-1.00152,0,9e+10,0,0,1.749,1.749
134,15.21,2029,-1.05687,0,9e+10,0,0,1.74091,1.75709
135,16.1047,2030,-1.1077,0,9e+10,0,0,1.73834,1.75966
136,16.9994,2031,-1.16027,0,9e+10,0,0,1.74526,1.75274
137,17.8943,2032,-1.21493,0,9e+10,0,0,1.749,1.749
138,18.7891,2033,-1.27172,0,9e+10,0,0,1.749,1.749
139,19.684,2034,-1.32707,0,9e+10,0,0,1.74199,1.75601
140,20.5787,2035,-1.3785,0,9e+10,0,0,1.73915,1.75885
141,21.4735,2036,-1.43152,0,9e+10,0,0,1.74606,1.75194
142,22.3684,2037,-1.48588,0,9e+10,0,0,1.749,1.749
143,23.2632,2038,-1.53468,0,9e+10,0,0,1.7491,1.74941
144,24.1585,2039,-1.56417,0,9e+10,0,0,1.74854,1.75146
145,25.0538,2040,1.56918,0,9e+10,0,0,1.75,1.75
146,25.9491,2041,1.56836,0,9e+10,0,0,1.75,1.75
147,0,2076,-nan,0,9e+10,0,0,-nan,-nan
148,-nan,2077,-nan,0,9e+10,0,0,1.75,1.75
149,-nan,2078,-0.000274658,0,9e+10,0,0,1.75,1.75
150,-nan,2079,-0.000274658,0,9e+10,0,0,1.75,1.75
151,-nan,2080,-0.00418283,0,9e+10,0,0,1.75,1.75
152,-nan,2081,-0.0228398,0,9e+10,0,0,1.74908,1.74943
153,-nan,2082,-0.0719277,0,9e+10,0,0,1.74289,1.75324
154,-nan,2083,-0.14721,0,9e+10,0,0,1.74805,1.74806
155,-nan,2084,-0.221638,0,9e+10,0,0,1.74805,1.74805
156,-nan,2085,-0.288606,0,9e+10,0,0,1.74805,1.74805
157,-nan,2086,-0.358371,0,9e+10,0,0,1.74805,1.74805
158,-nan,2087,-0.438992,0,9e+10,0,0,1.7483,1.74806
159,-nan,2088,-0.516819,0,9e+10,0,0,1.74806,1.74806
160,-nan,2089,-0.583789,0,9e+10,0,0,1.74806,1.74806
161,-nan,2090,-0.652832,0,9e+10,0,0,1.74806,1.74806
162,-nan,2091,-0.728592,0,9e+10,0,0,1.7444,1.75179
163,-nan,2092,-0.80566,0,9e+10,0,0,1.74684,1.74926
164,-nan,2093,-0.872791,0,9e+10,0,0,1.74837,1.74849
165,-nan,2094,-0.931541,0,9e+10,0,0,1.74882,1.74883
166,-nan,2095,-0.992734,0,9e+10,0,0,1.74883,1.74883
167,-nan,2096,-1.05311,0,9e+10,0,0,1.7402,1.75818
168,-nan,2097,-1.11011,0,9e+10,0,0,1.74529,1.75236
