ID,AID
1,16
2,17
3,18
4,19
5,20
6,21
7,22
8,23
9,24
10,25
11,26
12,27
13,28
14,29
15,30
16,31
17,32
18,33
19,34
20,35
21,36
22,37
23,38
24,39
25,40
26,41
27,42
28,43
29,44
30,45
31,46
32,47
33,48
34,49
35,50
36,51
37,52
38,53
39,54
40,55
41,56
42,57
43,58
44,59
45,60
46,61
47,62
48,63
49,64
50,65
51,66
52,67
53,68
54,69
55,70
56,71
57,72
58,73
59,74
60,75
61,76
62,77
63,78
64,79
65,80
66,81
67,82
68,83
69,84
70,85
71,86
72,87
73,88
74,89
75,90
76,91
77,92
78,93
79,94
80,95
81,96
82,97
83,98
84,99
85,100
86,101
87,102
88,103
