AID,SLID,ELID
1,1,7
2,8,16
3,17,38
4,39,47
5,48,86
6,87,92
7,93,103
8,104,111
9,112,120
10,121,140
11,141,148
12,149,156
13,157,166
14,167,172
15,173,180
16,181,210
17,211,240
18,241,244
19,245,248
20,249,274
21,275,300
22,301,326
23,327,330
24,331,364
25,365,398
26,399,402
27,403,436
28,437,440
29,441,446
30,447,450
31,451,454
32,455,458
33,459,486
34,487,490
35,491,496
36,497,500
37,501,506
38,507,516
39,517,544
40,545,548
41,549,582
42,583,586
43,587,590
44,591,622
45,623,650
46,651,678
47,679,712
48,713,716
49,717,748
50,749,752
51,753,756
52,757,784
53,785,816
54,817,822
55,823,832
56,833,836
57,837,840
58,841,844
59,845,848
60,849,878
61,879,882
62,883,906
63,907,940
64,941,974
65,975,978
66,979,982
67,983,986
68,987,992
69,993,998
70,999,1004
71,1005,1008
72,1009,1012
73,1013,1016
74,1017,1020
75,1021,1024
76,1025,1052
77,1053,1056
78,1057,1084
79,1085,1112
80,1113,1148
81,1149,1176
82,1177,1180
83,1181,1184
84,1185,1212
85,1213,1240
86,1241,1266
87,1267,1272
88,1273,1276
89,1277,1306
90,1307,1310
91,1311,1340
92,1341,1370
93,1371,1394
94,1395,1398
95,1399,1402
96,1403,1430
97,1431,1460
98,1461,1488
99,1489,1492
100,1493,1496
101,1497,1526
102,1527,1550
103,1551,1578
