DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,6767,-2.90261,0,9e+10,0,0,1.74988,1.75
2,0.938501,6768,0.250514,0,9e+10,0,0,1.7499,1.74991
3,1.87699,6769,0.273574,0,9e+10,0,0,1.74981,1.7498
4,2.81549,6770,0.298715,0,9e+10,0,0,1.74972,1.74976
5,3.75399,6771,0.324033,0,9e+10,0,0,1.74991,1.74991
6,4.69248,6772,0.347267,0,9e+10,0,0,1.74981,1.74981
7,5.63098,6773,0.372233,0,9e+10,0,0,1.74972,1.74971
8,6.56947,6774,0.397554,0,9e+10,0,0,1.74991,1.74992
9,7.50796,6775,0.420963,0,9e+10,0,0,1.74982,1.74982
10,8.44646,6776,0.445751,0,9e+10,0,0,1.74973,1.74972
11,9.38495,6777,0.471072,0,9e+10,0,0,1.74992,1.74993
12,10.3234,6778,0.494659,0,9e+10,0,0,1.74983,1.74982
13,11.2619,6779,0.519269,0,9e+10,0,0,1.74974,1.74972
14,12.2004,6780,0.544591,0,9e+10,0,0,1.74993,1.74993
15,13.1389,6781,0.568355,0,9e+10,0,0,1.74984,1.74983
16,14.0774,6782,0.592787,0,9e+10,0,0,1.74975,1.74973
17,15.0159,6783,0.618109,0,9e+10,0,0,1.74994,1.74994
18,15.9544,6784,0.642051,0,9e+10,0,0,1.74985,1.74984
19,16.8929,6785,0.666305,0,9e+10,0,0,1.74975,1.74974
20,17.8314,6786,0.691627,0,9e+10,0,0,1.74995,1.74995
21,18.7699,6787,0.715747,0,9e+10,0,0,1.74985,1.74985
22,19.7084,6788,0.739823,0,9e+10,0,0,1.74976,1.74974
23,20.6469,6789,0.765145,0,9e+10,0,0,1.74996,1.74996
24,21.5854,6790,0.789443,0,9e+10,0,0,1.74986,1.74985
25,22.5238,6791,0.813341,0,9e+10,0,0,1.74977,1.74975
26,23.4623,6792,0.838663,0,9e+10,0,0,1.74996,1.74996
27,24.4008,6793,0.863139,0,9e+10,0,0,1.74987,1.74986
28,25.3393,6794,0.886859,0,9e+10,0,0,1.74978,1.74976
29,26.2778,6795,0.912181,0,9e+10,0,0,1.74997,1.74997
30,27.2163,6796,0.936835,0,9e+10,0,0,1.74988,1.74987
31,28.1548,6797,0.960149,0,9e+10,0,0,1.74979,1.74977
32,0,6851,0.975859,0,9e+10,0,0,1.75,1.74991
33,0.968905,6852,0.969444,0,9e+10,0,0,1.74979,1.74978
