ID,LID,Width,Color,type,LinkID
1,37252,0.05,W,0,0
2,37253,0.05,W,0,0
3,37254,0.05,W,0,0
4,37255,0.05,W,0,0
5,37256,0.05,W,0,0
6,37257,0.05,W,0,0
7,37258,0.05,W,0,0
8,37259,0.05,W,0,0
9,37260,0.05,W,0,0
10,37261,0.05,W,0,0
11,37262,0.05,W,0,0
12,37263,0.05,W,0,0
13,37264,0.05,W,0,0
14,37265,0.05,W,0,0
15,37266,0.05,W,0,0
16,37267,0.05,W,0,0
17,37268,0.05,W,0,0
18,37269,0.05,W,0,0
19,37270,0.05,W,0,0
20,37271,0.05,W,0,0
21,37272,0.05,W,0,0
22,37273,0.05,W,0,0
23,37274,0.05,W,0,0
24,37275,0.05,W,0,0
25,37276,0.05,W,0,0
26,37277,0.05,W,0,0
27,37278,0.05,W,0,0
28,37279,0.05,W,0,0
29,37280,0.05,W,0,0
30,37281,0.05,W,0,0
31,37282,0.05,W,0,0
32,37283,0.05,W,0,0
33,37284,0.05,W,0,0
34,37285,0.05,W,0,0
35,37286,0.05,W,0,0
36,37287,0.05,W,0,0
37,37288,0.05,W,0,0
38,37289,0.05,W,0,0
39,37290,0.05,W,0,0
40,37291,0.05,W,0,0
41,37292,0.05,W,0,0
42,37293,0.05,W,0,0
43,37294,0.05,W,0,0
44,37295,0.05,W,0,0
45,37296,0.05,W,0,0
46,37297,0.05,W,0,0
47,37298,0.05,W,0,0
48,37299,0.05,W,0,0
49,37300,0.05,W,0,0
50,37301,0.05,W,0,0
51,37302,0.05,W,0,0
52,37303,0.05,W,0,0
53,37304,0.05,W,0,0
54,37305,0.05,W,0,0
55,37306,0.05,W,0,0
56,37307,0.05,W,0,0
57,37308,0.05,W,0,0
58,37309,0.05,W,0,0
59,37310,0.05,W,0,0
60,37311,0.05,W,0,0
61,37312,0.05,W,0,0
62,37313,0.05,W,0,0
63,37314,0.05,W,0,0
64,37315,0.05,W,0,0
65,37316,0.05,W,0,0
66,37317,0.05,W,0,0
67,37318,0.05,W,0,0
68,37319,0.05,W,0,0
69,37320,0.05,W,0,0
70,37321,0.05,W,0,0
71,37322,0.05,W,0,0
72,37323,0.05,W,0,0
73,37324,0.05,W,0,0
74,37325,0.05,W,0,0
75,37326,0.05,W,0,0
76,37327,0.05,W,0,0
77,37328,0.05,W,0,0
78,37329,0.05,W,0,0
79,37330,0.05,W,0,0
80,37331,0.05,W,0,0
81,37332,0.05,W,0,0
82,37333,0.05,W,0,0
83,37334,0.05,W,0,0
84,37335,0.05,W,0,0
85,37336,0.05,W,0,0
86,37337,0.05,W,0,0
87,37338,0.05,W,0,0
88,37339,0.05,W,0,0
89,37340,0.05,W,0,0
90,37341,0.05,W,0,0
91,37342,0.05,W,0,0
92,37343,0.05,W,0,0
93,37344,0.05,W,0,0
94,37345,0.05,W,0,0
95,37346,0.05,W,0,0
96,37347,0.05,W,0,0
97,37348,0.05,W,0,0
98,37349,0.05,W,0,0
99,37350,0.05,W,0,0
100,37351,0.05,W,0,0
101,37352,0.05,W,0,0
102,37353,0.05,W,0,0
103,37354,0.05,W,0,0
104,37355,0.05,W,0,0
105,37356,0.05,W,0,0
106,37357,0.05,W,0,0
107,37358,0.05,W,0,0
108,37359,0.05,W,0,0
109,37360,0.05,W,0,0
110,37361,0.05,W,0,0
111,37362,0.05,W,0,0
112,37363,0.05,W,0,0
113,37364,0.05,W,0,0
114,37365,0.05,W,0,0
115,37366,0.05,W,0,0
116,37367,0.05,W,0,0
117,37368,0.05,W,0,0
118,37369,0.05,W,0,0
119,37370,0.05,W,0,0
120,37371,0.05,W,0,0
121,37372,0.05,W,0,0
122,37373,0.05,W,0,0
123,37374,0.05,W,0,0
124,37375,0.05,W,0,0
125,37376,0.05,W,0,0
126,37377,0.05,W,0,0
127,37378,0.05,W,0,0
128,37379,0.05,W,0,0
129,37380,0.05,W,0,0
130,37381,0.05,W,0,0
131,37382,0.05,W,0,0
132,37383,0.05,W,0,0
133,37384,0.05,W,0,0
134,37385,0.05,W,0,0
135,37386,0.05,W,0,0
136,37387,0.05,W,0,0
137,37388,0.05,W,0,0
138,37389,0.05,W,0,0
139,37390,0.05,W,0,0
140,37391,0.05,W,0,0
141,37392,0.05,W,0,0
142,37393,0.05,W,0,0
143,37394,0.05,W,0,0
144,37395,0.05,W,0,0
145,37396,0.05,W,0,0
146,37397,0.05,W,0,0
147,37398,0.05,W,0,0
148,37399,0.05,W,0,0
149,37400,0.05,W,0,0
150,37401,0.05,W,0,0
151,37402,0.05,W,0,0
152,37403,0.05,W,0,0
153,37404,0.05,W,0,0
154,37405,0.05,W,0,0
155,37406,0.05,W,0,0
156,37407,0.05,W,0,0
157,37408,0.05,W,0,0
158,37409,0.05,W,0,0
159,37410,0.05,W,0,0
160,37411,0.05,W,0,0
161,37412,0.05,W,0,0
162,37413,0.05,W,0,0
163,37414,0.05,W,0,0
164,37415,0.05,W,0,0
165,37416,0.05,W,0,0
166,37417,0.05,W,0,0
167,37418,0.05,W,0,0
168,37419,0.05,W,0,0
169,37420,0.05,W,0,0
170,37421,0.05,W,0,0
171,37422,0.05,W,0,0
172,37423,0.05,W,0,0
173,37424,0.05,W,0,0
174,37425,0.05,W,0,0
175,37426,0.05,W,0,0
176,37427,0.05,W,0,0
177,37428,0.05,W,0,0
178,37429,0.05,W,0,0
179,37430,0.05,W,0,0
180,37431,0.05,W,0,0
181,37432,0.05,W,0,0
182,37433,0.05,W,0,0
183,37434,0.05,W,0,0
184,37435,0.05,W,0,0
185,37436,0.05,W,0,0
186,37437,0.05,W,0,0
187,37438,0.05,W,0,0
188,37439,0.05,W,0,0
189,37440,0.05,W,0,0
190,37441,0.05,W,0,0
191,37442,0.05,W,0,0
192,37443,0.05,W,0,0
193,37444,0.05,W,0,0
194,37445,0.05,W,0,0
195,37446,0.05,W,0,0
196,37447,0.05,W,0,0
197,37448,0.05,W,0,0
198,37449,0.05,W,0,0
199,37450,0.05,W,0,0
200,37451,0.05,W,0,0
201,37452,0.05,W,0,0
202,37453,0.05,W,0,0
203,37454,0.05,W,0,0
204,37455,0.05,W,0,0
205,37456,0.05,W,0,0
206,37457,0.05,W,0,0
207,37458,0.05,W,0,0
208,37459,0.05,W,0,0
209,37460,0.05,W,0,0
210,37461,0.05,W,0,0
