AID,SLID,ELID
1,1,94
2,95,117
3,118,168
4,169,305
5,306,318
6,319,326
7,327,333
8,334,340
9,341,600
10,601,609
11,610,625
12,626,634
13,635,642
14,643,649
15,650,657
16,658,667
17,668,1267
18,1268,1277
19,1278,1287
20,1288,1528
21,1529,1978
22,1979,1990
23,1991,2000
24,2001,2007
25,2008,2020
26,2021,2146
27,2147,2157
28,2158,2169
29,2170,2195
30,2196,2203
31,2204,2324
32,2325,2334
33,2335,2367
34,2368,2384
35,2385,2450
36,2451,2461
37,2462,2468
38,2469,2475
39,2476,2484
40,2485,2491
41,2492,2503
42,2504,2529
43,2530,2536
44,2537,2781
45,2782,2817
46,2818,2828
47,2829,3000
48,3001,3010
49,3011,3225
50,3226,3252
51,3253,3259
52,3260,3267
53,3268,3367
54,3368,3451
55,3452,3535
56,3536,3625
57,3626,3631
58,3632,3661
59,3662,3693
60,3694,3725
61,3726,3753
62,3754,3777
63,3778,3807
64,3808,3837
65,3838,3841
66,3842,3915
67,3916,4021
68,4022,4111
69,4112,4195
70,4196,4199
71,4200,4203
72,4204,4207
73,4208,4211
74,4212,4215
75,4216,4219
76,4220,4223
77,4224,4227
78,4228,4255
79,4256,4283
80,4284,4311
81,4312,4337
82,4338,4341
83,4342,4345
84,4346,4371
85,4372,4397
86,4398,4425
87,4426,4455
88,4456,4459
89,4460,4563
90,4564,4567
91,4568,4571
92,4572,4575
93,4576,4579
94,4580,4583
95,4584,4587
96,4588,4591
97,4592,4595
98,4596,4743
99,4744,4891
100,4892,5039
101,5040,5187
102,5188,5335
103,5336,5341
104,5342,5499
105,5500,5529
106,5530,5561
107,5562,5591
108,5592,5621
109,5622,5625
110,5626,5629
111,5630,5741
112,5742,5745
113,5746,5761
114,5762,5777
115,5778,5793
116,5794,5877
117,5878,5893
118,5894,5909
119,5910,5925
120,5926,5929
121,5930,6033
122,6034,6037
123,6038,6041
124,6042,6145
125,6146,6149
126,6150,6153
127,6154,6157
128,6158,6161
129,6162,6165
130,6166,6313
131,6314,6317
132,6318,6321
133,6322,6325
134,6326,6355
135,6356,6387
136,6388,6419
137,6420,6453
138,6454,6489
139,6490,6523
140,6524,6527
141,6528,6531
142,6532,6559
143,6560,6589
144,6590,6713
145,6714,6723
146,6724,6729
147,6730,6813
148,6814,7285
149,7286,7289
150,7290,8221
151,8222,8251
152,8252,9181
153,9182,9205
154,9206,9211
155,9212,9237
156,9238,9243
157,9244,9259
158,9260,9499
159,9500,9529
160,9530,9545
161,9546,9549
162,9550,9583
163,9584,9589
164,9590,9649
165,9650,9681
166,9682,9917
167,9918,9923
168,9924,10159
169,10160,10163
170,10164,10399
171,10400,10403
172,10404,10413
173,10414,10423
174,10424,10433
175,10434,10493
176,10494,10499
177,10500,10505
178,10506,10629
179,10630,10633
180,10634,10639
181,10640,10675
182,10676,10679
183,10680,10683
184,10684,10699
185,10700,10937
186,10938,10943
187,10944,10949
188,10950,11017
189,11018,11139
190,11140,11263
191,11264,11333
192,11334,11569
193,11570,11639
194,11640,12569
195,12570,12573
196,12574,12603
197,12604,12607
198,12608,12617
199,12618,12623
200,12624,12653
201,12654,12657
202,12658,12685
203,12686,12805
204,12806,12833
205,12834,12861
206,12862,12865
207,12866,12871
208,12872,12875
209,12876,12907
210,12908,12913
211,12914,13035
212,13036,13039
213,13040,13043
214,13044,13047
215,13048,13519
216,13520,13523
217,13524,13583
218,13584,13673
219,13674,13679
220,13680,13685
221,13686,13717
222,13718,13801
223,13802,13805
224,13806,13917
225,13918,13933
226,13934,14865
227,14866,14869
228,14870,14873
229,14874,15229
230,15230,15233
231,15234,15237
232,15238,15709
233,15710,15715
234,15716,15809
235,15810,15837
236,15838,15897
237,15898,15901
238,15902,15969
239,15970,16001
