ID,AID
1,18
2,19
3,20
4,21
5,22
6,23
7,24
8,25
9,26
10,27
11,28
12,29
13,30
14,31
15,32
16,33
17,34
18,35
19,36
20,37
21,38
22,39
23,40
24,41
25,42
26,43
27,44
28,45
29,46
30,47
31,48
32,49
33,50
34,51
35,52
36,53
37,54
38,55
39,56
40,57
41,58
42,59
43,60
44,61
45,62
46,63
47,64
48,65
49,66
50,67
51,68
52,69
53,70
54,71
55,72
56,73
57,74
58,75
59,76
60,77
61,78
62,79
63,80
64,81
65,82
66,83
67,84
68,85
69,86
70,87
71,88
72,89
73,90
74,91
75,92
76,93
77,94
78,95
79,96
80,97
81,98
82,99
83,100
84,101
85,102
86,103
87,104
88,105
89,106
90,107
91,108
92,109
93,110
94,111
95,112
96,113
97,114
98,115
99,116
100,117
101,118
102,119
103,120
104,121
105,122
106,123
107,124
108,125
109,126
110,127
111,128
112,129
113,130
114,131
115,132
116,133
117,134
118,135
119,136
120,137
121,138
122,139
123,140
124,141
