PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,-0.0001739894,0.0004684273,0.0000000000,-53.4933490828,144.9895079722,0,0,0,0
2,-0.0001502516,0.0004911536,0.0000000000,-46.1951068770,152.0238097823,0,0,0,0
3,-0.0001502516,0.0004911536,0.0000000000,-46.1951068770,152.0238097823,0,0,0,0
4,-0.0001502674,0.0005040766,0.0000000000,-46.1999654230,156.0238064974,0,0,0,0
5,-0.0001502674,0.0005040766,0.0000000000,-46.1999654230,156.0238064974,0,0,0,0
6,-0.0001502832,0.0005169997,0.0000000000,-46.2048250772,160.0238030802,0,0,0,0
7,-0.0001502832,0.0005169997,0.0000000000,-46.2048250772,160.0238030802,0,0,0,0
8,-0.0001739807,0.0005400858,0.0000000000,-53.4906463735,167.1695084843,0,0,0,0
9,-0.0001739807,0.0005400858,0.0000000000,-53.4906463735,167.1695084843,0,0,0,0
10,-0.0002000010,0.0005400889,0.0000000000,-61.4906465728,167.1704828259,0,0,0,0
11,-0.0002000010,0.0005400889,0.0000000000,-61.4906465728,167.1704828259,0,0,0,0
12,-0.0002000098,0.0004684305,0.0000000000,-61.4933496416,144.9904834288,0,0,0,0
13,-0.0002000098,0.0004684305,0.0000000000,-61.4933496416,144.9904834288,0,0,0,0
14,-0.0001869996,0.0004684289,0.0000000000,-57.4933493622,144.9899956344,0,0,0,0
15,-0.0001869996,0.0004684289,0.0000000000,-57.4933493622,144.9899956344,0,0,0,0
16,-0.0001739894,0.0004684273,0.0000000000,-53.4933490828,144.9895079722,0,0,0,0
17,-0.0001739894,0.0004684273,0.0000000000,-53.4933490828,144.9895079722,0,0,0,0
18,-0.0001739894,0.0004684273,0.0000000000,-53.4933490828,144.9895079722,0,0,0,0
19,-0.0003897865,0.0002791000,0.0000000000,-119.8406070508,86.3882196847,0,0,0,0
20,-0.0003897826,0.0003049461,0.0000000000,-119.8393904753,94.3882195429,0,0,0,0
21,-0.0003897826,0.0003049461,0.0000000000,-119.8393904753,94.3882195429,0,0,0,0
22,-0.0004144223,0.0003276699,0.0000000000,-127.4149056543,101.4217828917,0,0,0,0
23,-0.0004144223,0.0003276699,0.0000000000,-127.4149056543,101.4217828917,0,0,0,0
24,-0.0004404427,0.0003276583,0.0000000000,-135.4149046689,101.4182091476,0,0,0,0
25,-0.0004404427,0.0003276583,0.0000000000,-135.4149046689,101.4182091476,0,0,0,0
26,-0.0004613385,0.0003049569,0.0000000000,-141.8393906895,94.3915638971,0,0,0,0
27,-0.0004613385,0.0003049569,0.0000000000,-141.8393906895,94.3915638971,0,0,0,0
28,-0.0004613425,0.0002791107,0.0000000000,-141.8406065069,86.3915640400,0,0,0,0
29,-0.0004613425,0.0002791107,0.0000000000,-141.8406065069,86.3915640400,0,0,0,0
30,-0.0003897865,0.0002791000,0.0000000000,-119.8406070508,86.3882196847,0,0,0,0
31,-0.0003897865,0.0002791000,0.0000000000,-119.8406070508,86.3882196847,0,0,0,0
32,-0.0003897865,0.0002791000,0.0000000000,-119.8406070508,86.3882196847,0,0,0,0
33,-0.0004407693,0.0010520618,0.0000000000,-135.5150849540,325.6381858267,0,0,0,0
34,-0.0004277591,0.0010520676,0.0000000000,-131.5150851067,325.6399731861,0,0,0,0
35,-0.0004277591,0.0010520676,0.0000000000,-131.5150851067,325.6399731861,0,0,0,0
36,-0.0004147489,0.0010520733,0.0000000000,-127.5150852595,325.6417606776,0,0,0,0
37,-0.0004147489,0.0010520733,0.0000000000,-127.5150852595,325.6417606776,0,0,0,0
38,-0.0003921843,0.0010752875,0.0000000000,-120.5775613897,332.8270901971,0,0,0,0
39,-0.0003921843,0.0010752875,0.0000000000,-120.5775613897,332.8270901971,0,0,0,0
40,-0.0003922001,0.0011011337,0.0000000000,-120.5823935699,340.8270893786,0,0,0,0
41,-0.0003922001,0.0011011337,0.0000000000,-120.5823935699,340.8270893786,0,0,0,0
42,-0.0004673014,0.0011010886,0.0000000000,-143.6723895855,340.8131425599,0,0,0,0
43,-0.0004673014,0.0011010886,0.0000000000,-143.6723895855,340.8131425599,0,0,0,0
44,-0.0004672856,0.0010752424,0.0000000000,-143.6675578244,332.8131433772,0,0,0,0
45,-0.0004672856,0.0010752424,0.0000000000,-143.6675578244,332.8131433772,0,0,0,0
46,-0.0004407693,0.0010520618,0.0000000000,-135.5150849540,325.6381858267,0,0,0,0
47,-0.0004407693,0.0010520618,0.0000000000,-135.5150849540,325.6381858267,0,0,0,0
48,-0.0004407693,0.0010520618,0.0000000000,-135.5150849540,325.6381858267,0,0,0,0
49,-0.0006060480,0.0002791324,0.0000000000,-186.3306053709,86.3983267862,0,0,0,0
50,-0.0006060441,0.0003049785,0.0000000000,-186.3293899354,94.3983266409,0,0,0,0
51,-0.0006060441,0.0003049785,0.0000000000,-186.3293899354,94.3983266409,0,0,0,0
52,-0.0006281988,0.0003276649,0.0000000000,-193.1408887282,101.4203266377,0,0,0,0
